Year,Month,Day,Lat,Lon,Depth,Mag
2021,5,12,-17.2713,-70.0644,10,5.4
2021,5,12,-22.1504,-68.5722,113.2,4.4
2021,5,12,-17.4766,-69.8525,10,4.4
2021,5,11,-19.3256,-67.7921,224.5,4.2
2021,5,11,-21.5643,-68.4904,143.2,4.3
2021,5,11,-20.2194,-69.2082,85.5,3.8
2021,5,11,-15.8784,-70.134,223.9,4.2
2021,5,10,-17.5208,-69.8346,10,3.8
2021,5,10,-10.0859,-75.4545,39.1,4.7
2021,5,10,-17.2899,-69.8687,10,4.4
2021,5,10,-17.3764,-69.8253,10,4.2
2021,5,8,-21.8836,-67.4376,228.8,4.6
2021,5,7,-21.9266,-68.7616,116.7,4.6
2021,5,6,-21.2614,-68.4751,106.6,4.6
2021,5,6,-17.0567,-70.7289,90.4,4.1
2021,5,6,-22.1531,-68.5794,117.3,4.4
2021,5,4,-20.674,-70.1736,31.8,3.8
2021,5,4,-22.4862,-67.6975,187.2,4.3
2021,5,4,-22.8521,-68.7582,108.9,4.4
2021,5,4,-20.6775,-70.2514,65.8,2.7
2021,5,4,-14.2485,-72.7905,73.7,4.1
2021,5,3,-15.0374,-72.5905,102.2,4.6
2021,5,3,-19.4137,-69.3983,96.5,4
2021,4,30,-16.8508,-73.0714,35,4.1
2021,4,30,-17.4202,-69.9415,10,4.1
2021,4,30,-17.3007,-69.8443,10,4.4
2021,4,30,-17.3278,-69.7206,10,4.1
2021,4,30,-22.7456,-66.1312,250,4.7
2021,4,29,-23.2035,-68.7386,99.7,4.7
2021,4,29,-17.3999,-69.894,10,4.7
2021,4,28,-22.1239,-63.6372,523.2,4.5
2021,4,28,-20.9139,-68.8264,103.9,4.2
2021,4,27,-20.0254,-69.3241,107.8,4.2
2021,4,26,-15.6443,-71.3953,130.1,4.8
2021,4,26,-23.3912,-66.8027,201,4.2
2021,4,25,-15.5958,-74.5673,12.9,5.5
2021,4,25,-19.6919,-70.1209,51.7,4.3
2021,4,25,-17.3902,-69.9106,10,4.3
2021,4,24,-16.5096,-73.0866,66,4.2
2021,4,24,-19.6397,-69.2822,100.5,4.2
2021,4,22,-21.7635,-68.616,117.6,4.1
2021,4,22,-15.6079,-72.6422,131.2,4.2
2021,4,21,-22.747,-66.8872,256.6,4.5
2021,4,21,-21.3449,-71.3875,10,4.2
2021,4,21,-19.7506,-68.9624,107,4.2
2021,4,19,-17.5596,-70.713,105.5,4.2
2021,4,19,-21.2731,-68.8472,117.3,4.4
2021,4,19,-15.8689,-69.7422,243.6,4.5
2021,4,19,-17.7617,-70.5489,27.8,4.5
2021,4,18,-22.7331,-66.4281,276.5,4.5
2021,4,18,-22.0733,-68.7212,137.2,4.2
2021,4,18,-15.9226,-72.064,35,4.1
2021,4,17,-16.8498,-72.3766,43.2,4.6
2021,4,17,-21.7465,-68.7083,117.6,4.1
2021,4,16,-19.4935,-69.4015,100.1,4.4
2021,4,15,-22.3062,-69.8762,57.8,4
2021,4,14,-20.0645,-69.9485,65,3.6
